recnumb,subj,day,scc,tri,Posevent,NegEvent,pa,na,posC,negC,paC,naC,anx,anxC
1,1,1,4.75,5.333333492,2.571428537,1,4.400000095,2.200000048,-0.308779798,-1.062499995,0.418750137,-0.568749934,39,-4.378076127
2,1,2,4.75,6,2.285714388,0.75,4.199999809,1.700000048,-0.594493948,-1.312499995,0.218749851,-1.068749934,39,-4.378076127
3,1,3,4.5,3,2.071428537,1.25,3.599999905,3.599999905,-0.808779798,-0.812499995,-0.381250054,0.831249923,39,-4.378076127
4,1,4,4.75,6,2.5,1.083333373,4.199999809,1.899999976,-0.380208336,-0.979166622,0.218749851,-0.868750006,39,-4.378076127
5,1,5,5.25,6,1.214285731,2.083333254,3.5,2,-1.665922605,0.020833259,-0.481249958,-0.768749982,39,-4.378076127
6,1,6,4,5,2.428571463,2.833333254,4.599999905,2.5,-0.451636873,0.770833259,0.618749946,-0.268749982,39,-4.378076127
7,1,7,3,5.666666508,2.440476179,1.75,3.900000095,4.099999905,-0.439732157,-0.312499995,-0.081249863,1.331249923,39,-4.378076127
8,1,8,2.75,3,2.357142925,2.166666746,3.200000048,4.699999809,-0.523065411,0.104166751,-0.781249911,1.931249827,39,-4.378076127
9,1,9,5.25,6,3.428571463,0.166666672,3.599999905,1.399999976,0.548363127,-1.895833324,-0.381250054,-1.368750006,39,-4.378076127
10,1,10,4,6,3.571428537,1.583333373,3.799999952,1.799999952,0.691220202,-0.479166622,-0.181250006,-0.96875003,39,-4.378076127
11,1,11,5,5.666666508,3.428571463,1.916666627,3.099999905,2.299999952,0.548363127,-0.145833368,-0.881250054,-0.46875003,39,-4.378076127
12,1,12,3,3,3.714285612,3.333333254,4.099999905,5,0.834077276,1.270833259,0.118749946,2.231250018,39,-4.378076127
13,1,13,5,5,2.142857075,1.083333373,4,2.5,-0.737351261,-0.979166622,0.018750042,-0.268749982,39,-4.378076127
14,1,14,3,3,3.928571463,4,5,4.800000191,1.048363127,1.937500005,1.018750042,2.031250209,39,-4.378076127
15,1,15,6,6,4,4,4.900000095,2,1.119791664,1.937500005,0.918750137,-0.768749982,39,-4.378076127
16,1,16,6,6.333333492,4,4,3.599999905,1.799999952,1.119791664,1.937500005,-0.381250054,-0.96875003,39,-4.378076127
17,2,1,4.5,4.333333492,1.071428537,0.5,3,3,0.56122445,0.226190475,-1.007142867,-1.828571507,68.42105103,25.0429749
18,2,2,3.25,5,0.5,0,2.799999952,2.200000048,-0.010204087,-0.273809525,-1.207142915,-2.628571459,68.42105103,25.0429749
19,2,3,3.75,2.333333254,0.071428575,0.333333343,2.400000095,5.800000191,-0.438775513,0.059523819,-1.607142772,0.971428684,68.42105103,25.0429749
20,2,4,1,2,0.428571433,0.333333343,4,4.599999905,-0.081632655,0.059523819,-0.007142867,-0.228571602,68.42105103,25.0429749
21,2,5,4,4,0.5,0.083333336,4,4.300000191,-0.010204087,-0.190476189,-0.007142867,-0.528571316,68.42105103,25.0429749
22,2,6,4,2,0.142857149,0.75,4.400000095,5.800000191,-0.367346938,0.476190475,0.392857228,0.971428684,68.42105103,25.0429749
23,2,7,1,2,0.357142866,0.083333336,3.599999905,4.300000191,-0.153061222,-0.190476189,-0.407142963,-0.528571316,68.42105103,25.0429749
